season,samples,MAE,RMSE,R2
Whole Year,749.0,387.7256711438704,1503.9911319239052,0.8408651636931526
Rabi,959.0,0.5392533288603646,1.0804519913473754,0.883281364207885
Kharif,997.0,0.449995787021023,0.9890877642465336,0.904303626534228
Winter,73.0,0.4247429066671436,0.5857517281511848,0.24513648354261897
Summer,70.0,0.3659749038614642,0.5079688543184581,-0.06404656870531222
Autumn,71.0,0.25185784127148175,0.31479268796095805,-0.26948065965811785
