feature,mean_absolute_shap,importance_percentage
crop,307.33944173076776,55.508525536586426
season,148.97308848283842,26.906004773568075
area,46.552114894390805,8.40776974099224
district,37.528913053883414,6.7780907549012195
year,13.286149161990311,2.399609193952033
