sample_index,year,district,crop,season,area,actual_yield,predicted_yield,feature,shap_value,absolute_shap,impact,rank
260,2021,Erode,Arhar(Tur),Rabi,38.0,1.34,1.2064805776439615,district,0.027615869151591532,0.027615869151591532,increases prediction,5
262,2021,Erode,Bajra,Rabi,41.0,2.27,1.7997291092460181,crop,-1.9847012551395042,1.9847012551395042,decreases prediction,1
262,2021,Erode,Bajra,Rabi,41.0,2.27,1.7997291092460181,season,-1.8095179425430068,1.8095179425430068,decreases prediction,2
262,2021,Erode,Bajra,Rabi,41.0,2.27,1.7997291092460181,year,0.18497440223329478,0.18497440223329478,increases prediction,3
262,2021,Erode,Bajra,Rabi,41.0,2.27,1.7997291092460181,area,-0.053217625736746065,0.053217625736746065,decreases prediction,4
262,2021,Erode,Bajra,Rabi,41.0,2.27,1.7997291092460181,district,0.027935600145490014,0.027935600145490014,increases prediction,5
274,2021,Erode,Garlic,Whole Year,108.0,4.82,4.308869427988853,crop,-2.121647141348317,2.121647141348317,decreases prediction,1
274,2021,Erode,Garlic,Whole Year,108.0,4.82,4.308869427988853,season,1.179256541223596,1.179256541223596,increases prediction,2
274,2021,Erode,Garlic,Whole Year,108.0,4.82,4.308869427988853,area,-0.33130520448622364,0.33130520448622364,decreases prediction,3
274,2021,Erode,Garlic,Whole Year,108.0,4.82,4.308869427988853,district,0.12289869242301825,0.12289869242301825,increases prediction,4
274,2021,Erode,Garlic,Whole Year,108.0,4.82,4.308869427988853,year,0.025410609890289315,0.025410609890289315,increases prediction,5
