year,samples,actual_mean,actual_min,actual_max,predicted_mean,absolute_error_mean
2021,37,10784.688648648647,4203.01,14459.07,9373.36714124842,2668.1931792099417
2022,38,13062.802105263158,4414.74,24419.05,9163.919259317436,4948.86789241379
